name,img,threeD,in: Max Height,in: Average Tower Floorplate,in: Position Index,out: Plaza Analysis Area,out: Average Daylight Hours Equinox,out: Facade Analysis Area,out: Area with View,out: Empire State,out: Central Park,out: East River,out: Daylight Evaluation Score
0208,design_explorer_data/kpf/Images/0208.png,design_explorer_data/kpf/Json/0208.json,938.0,19380.0,4,42000.0,5.133145,575529.339088,295914.880831,85864.578912,144042.654882,131851.218001,92.135833
0209,design_explorer_data/kpf/Images/0209.png,design_explorer_data/kpf/Json/0209.json,1008.0,17760.0,4,42000.0,5.133145,589863.60514,310249.146883,89448.145424,151209.787908,143168.924465,92.15
0210,design_explorer_data/kpf/Images/0210.png,design_explorer_data/kpf/Json/0210.json,980.0,18342.857143,4,42000.0,5.133145,585034.684468,306775.461818,88240.915256,148794.729299,144541.015509,91.7375
0211,design_explorer_data/kpf/Images/0211.png,design_explorer_data/kpf/Json/0211.json,1064.0,16852.173913,4,42000.0,5.133145,606363.348277,328104.125627,93573.081209,159459.061204,160441.489937,92.140833
0212,design_explorer_data/kpf/Images/0212.png,design_explorer_data/kpf/Json/0212.json,1134.0,15600.0,4,42000.0,5.133145,620697.614329,342461.665062,97156.647722,166631.366093,176825.533553,92.4575
0213,design_explorer_data/kpf/Images/0213.png,design_explorer_data/kpf/Json/0213.json,1036.0,17373.134328,4,42000.0,5.133145,601534.427605,330352.912021,93903.410028,159705.415479,165534.080278,92.015
0214,design_explorer_data/kpf/Images/0214.png,design_explorer_data/kpf/Json/0214.json,1106.0,16050.0,4,42000.0,5.133145,615868.693656,344687.178073,97486.976541,166872.548505,176134.451825,92.345
0215,design_explorer_data/kpf/Images/0215.png,design_explorer_data/kpf/Json/0215.json,1190.0,14907.692308,4,42000.0,5.133145,637197.357466,366015.841882,102819.142493,177536.88041,196080.686572,92.481667
0216,design_explorer_data/kpf/Images/0216.png,design_explorer_data/kpf/Json/0216.json,1274.0,13885.714286,4,42000.0,5.133145,657666.116162,393122.661933,109594.08004,192469.706708,219883.22071,92.678333
0217,design_explorer_data/kpf/Images/0217.png,design_explorer_data/kpf/Json/0217.json,812.0,22800.0,4,45150.0,5.023543,541006.542943,263091.139612,78408.462353,129143.349758,93013.960243,91.1825
0218,design_explorer_data/kpf/Images/0218.png,design_explorer_data/kpf/Json/0218.json,840.0,21781.132075,4,45150.0,5.023543,547474.767834,269559.364503,80025.518576,132377.462204,101699.716974,92.219167
0219,design_explorer_data/kpf/Images/0219.png,design_explorer_data/kpf/Json/0219.json,896.0,20400.0,4,45150.0,5.023543,563974.510971,286059.10764,84150.45436,140627.333773,116567.074958,92.148333
0220,design_explorer_data/kpf/Images/0220.png,design_explorer_data/kpf/Json/0220.json,966.0,18619.354839,4,45150.0,5.023543,578308.777023,300393.373692,87734.020873,147794.466798,128529.710258,92.470833
0221,design_explorer_data/kpf/Images/0221.png,design_explorer_data/kpf/Json/0221.json,882.0,20871.428571,4,45150.0,5.023543,562398.807292,285415.298594,83756.528441,139835.85776,117497.953552,92.610833
0222,design_explorer_data/kpf/Images/0222.png,design_explorer_data/kpf/Json/0222.json,938.0,19620.0,4,45150.0,5.023543,578898.55043,301915.041732,87881.464225,148085.729329,131791.419142,92.9325
0223,design_explorer_data/kpf/Images/0223.png,design_explorer_data/kpf/Json/0223.json,1008.0,17981.538462,4,45150.0,5.023543,593232.816481,316249.307783,91465.030738,155252.862354,143109.125606,92.94
0224,design_explorer_data/kpf/Images/0224.png,design_explorer_data/kpf/Json/0224.json,980.0,18571.428571,4,45150.0,5.023543,588403.895809,312775.622718,90257.80057,152837.803746,144481.21665,92.390833
0225,design_explorer_data/kpf/Images/0225.png,design_explorer_data/kpf/Json/0225.json,1064.0,17060.869565,4,45150.0,5.023543,609732.559619,334104.286528,95589.966522,163502.135651,160381.691077,92.795
0226,design_explorer_data/kpf/Images/0226.png,design_explorer_data/kpf/Json/0226.json,1134.0,15794.594595,4,45150.0,5.023543,624066.82567,348461.825963,99173.533035,170674.440539,176765.734693,93.044167
0227,design_explorer_data/kpf/Images/0227.png,design_explorer_data/kpf/Json/0227.json,910.0,20006.896552,4,45150.0,5.023543,568867.032184,294612.353018,85297.477024,143552.370932,129197.133838,93.225
0228,design_explorer_data/kpf/Images/0228.png,design_explorer_data/kpf/Json/0228.json,966.0,18851.612903,4,45150.0,5.023543,585366.775321,311112.096155,89422.412809,151802.2425,143108.004498,93.546667
0229,design_explorer_data/kpf/Images/0229.png,design_explorer_data/kpf/Json/0229.json,1036.0,17319.402985,4,45150.0,5.023543,599701.041372,325446.362206,93005.979322,158969.375526,153995.758405,93.820833
0230,design_explorer_data/kpf/Images/0230.png,design_explorer_data/kpf/Json/0230.json,1008.0,17870.769231,4,45150.0,5.023543,594872.1207,321586.791714,91798.749154,156554.91519,155028.723377,93.4475
0231,design_explorer_data/kpf/Images/0231.png,design_explorer_data/kpf/Json/0231.json,1092.0,16461.971831,4,45150.0,5.023543,616200.78451,342915.455524,97130.915106,167219.247095,170892.994763,93.796667
0232,design_explorer_data/kpf/Images/0232.png,design_explorer_data/kpf/Json/0232.json,1162.0,15268.421053,4,45150.0,5.023543,630535.050561,357254.893438,100714.481619,174386.38012,186440.406648,94.075833
0233,design_explorer_data/kpf/Images/0233.png,design_explorer_data/kpf/Json/0233.json,1064.0,16956.521739,4,45150.0,5.023543,611371.863837,344017.952809,97076.854178,166699.813237,176025.676915,93.384167
0234,design_explorer_data/kpf/Images/0234.png,design_explorer_data/kpf/Json/0234.json,1134.0,15697.297297,4,45150.0,5.023543,625706.129889,358352.21886,100660.420691,173866.946263,186789.306111,94.0225
0235,design_explorer_data/kpf/Images/0235.png,design_explorer_data/kpf/Json/0235.json,1218.0,14610.0,4,45150.0,5.023543,647034.793698,379680.88267,105992.586644,184531.278168,205712.378095,94.211667
0236,design_explorer_data/kpf/Images/0236.png,design_explorer_data/kpf/Json/0236.json,1302.0,13632.55814,4,45150.0,5.023543,667503.552394,405083.408081,112353.087222,198604.199352,229084.959677,94.150833
0237,design_explorer_data/kpf/Images/0237.png,design_explorer_data/kpf/Json/0237.json,952.0,19200.0,4,49500.0,4.822905,583094.844693,316203.19543,89429.247296,155191.752358,146656.205979,95.865833
0238,design_explorer_data/kpf/Images/0238.png,design_explorer_data/kpf/Json/0238.json,994.0,18131.25,4,49500.0,4.822905,591835.000212,324943.350949,91614.286176,159561.830118,154364.192722,95.8975
0239,design_explorer_data/kpf/Images/0239.png,design_explorer_data/kpf/Json/0239.json,1064.0,16695.652174,4,49500.0,4.822905,606169.266263,339277.617001,95197.852689,166728.963144,165018.868831,96.26
0240,design_explorer_data/kpf/Images/0240.png,design_explorer_data/kpf/Json/0240.json,1036.0,17211.940299,4,49500.0,4.822905,601340.345591,334642.686019,93990.622521,164314.502808,165127.554454,96.0325
0241,design_explorer_data/kpf/Images/0241.png,design_explorer_data/kpf/Json/0241.json,1120.0,15895.890411,4,49500.0,4.822905,622669.009401,355971.349829,99322.788473,174978.834712,180955.6228,96.294167
0242,design_explorer_data/kpf/Images/0242.png,design_explorer_data/kpf/Json/0242.json,1190.0,14769.230769,4,49500.0,4.822905,637003.275452,370305.61588,102906.354986,182145.967738,195674.160749,96.3575
0243,design_explorer_data/kpf/Images/0243.png,design_explorer_data/kpf/Json/0243.json,1092.0,16360.56338,4,49500.0,4.822905,617840.088728,356316.73393,98884.337799,173694.210996,186516.974416,96.216667
0244,design_explorer_data/kpf/Images/0244.png,design_explorer_data/kpf/Json/0244.json,1162.0,15173.684211,4,49500.0,4.822905,632174.35478,370650.999982,102467.904312,180861.344021,197267.673955,96.783333
0245,design_explorer_data/kpf/Images/0245.png,design_explorer_data/kpf/Json/0245.json,1246.0,14151.219512,4,49500.0,4.822905,653503.01859,391979.663792,107800.070264,191525.675926,215543.231172,96.61
0246,design_explorer_data/kpf/Images/0246.png,design_explorer_data/kpf/Json/0246.json,1330.0,13227.272727,4,49500.0,4.822905,673971.777285,415872.18339,113746.133874,204738.691996,238480.688333,96.993333
0247,design_explorer_data/kpf/Images/0247.png,design_explorer_data/kpf/Json/0247.json,1148.0,15600.0,4,52775.0,4.82758,634339.831866,384303.299048,105887.410506,187683.006512,207500.466827,98.004167
